userId,user,mobile,content
5581318315,开心女乔web,OPPO智能手机,#肖战竖中指#@X玖少年团肖战DAYTOY 肖战管好你粉丝呗，真的烦了，每次你一有事你粉丝就推到wyb身上，还骂的超级超级难听，真的很贱。 上次跟光明乳业也是，普通人有什么错，他们只是单纯讨厌肖战而已，结果呢，肖战粉丝非要把普通网友按头wyb粉丝，在人家光明乳业微博下都刷屏了。就像有条评论说的那 ...全文
7253815517,佟心妍,,#难听#确实是三个人三首歌的感觉 不过我觉得gai和张艺兴的part还不错的 汪峰老师大概真的不适合 
6805026949,宇宙鸿荒CrazyDepartment,AI红v养成计划超话,#难听# 这个居然挂了这么久，感觉已经是一种营销策略了，因为我真的点进去听了一遍哈哈哈 
6798521984,夏阿初,,#毛晓彤陈翔录音#  我有那么一瞬间真的在想是不是会反转。会不会是第二个潘粤明。并没有。潘老师这种忍辱负重的男人还是稀有。快男时期就满脸写着土，现在的操作还是很蠢。他当时唱的那个《开到荼靡》，要是放到现在，一定会有个“难听”的热搜。而且大概率会被王菲粉丝骂成狗屎。说起来1 ...全文
2111850984,l卿I,iPhone客户端,玩游戏总能遇到输不起的奇葩，明明胡搅蛮缠地耗时迫使某人我不情愿让了她，还要反咬一口某人我不会玩才导致其犯错，接着又娘们唧唧不讲理地耗时让某人我鸽吻。某人实在骂不出难听带问候的话，凶两句输不起的东西，然后撂下了自认为狠绝的一句：“祝输不起的你，丧一年”。最后，退局不再纠缠，如果玩游 ...全文
5652033985,XYXYXYXYFan,iPhone客户端,我还以为热搜的“难听”说的是《夜的第七章》呢 
3196941451,Fab2021,姐姐的iPhone客户端,低情商:汪峰老师新出的歌真难听。高情商:张艺兴和gai的新歌真好听。 
1933697162,圆圆海-,小米6X 拍人更美,xx的歌好难听和同在热搜上的某位老师相比简直天差地别 
1621078697,我是戴荃,iphone4iPhone客户端,我了个去…老汪玩Rap的时候，你们这帮娃娃还不会拿勺子吃饭呢~ #汪峰没有人在乎##汪峰张艺兴gai合作新歌# 说Rap难听的来听听你大爷97年的Rap ~ &lt;(｀^´)&gt;  分享单曲瓦解（@网易云音乐） 
5667260643,橘子可爱吖ha,荣耀20 PRO,#汪峰没有人在乎#歌词是无垠吧为什么唱的是无限啊我听错了嘛？？？我说今年一定要听听汪峰的新歌听了一遍哇！好难听过了半个小时听了第二遍哇！越来越不好听讨厌谁就把汪峰的新歌发给ta听（卑微路人，勿喷，谢谢） 
5474171283,汤圆不甜哈,nova4自拍极点全面屏,大家都说难听，但我觉得老张那段还可以啊！回眸也是很帅的，嘻嘻～嗯～期待汪峰老师下一首新歌（绝不承认我只是单纯的想吃瓜而已） 
5243444360,佳佳ZJ超话打卡了吗,iPhone XR,是真的不止一次觉得我得id又难听又长 记得生日会那个纸条写我的id我还拐个弯 
1497161671,金属乐界DEMOGORGON,MV · 视频社区,#汪峰张艺兴GAI合作新歌# 汪峰新歌《没有人在乎》MV曝光：新浪音乐的微博视频 转成了不怎么熟悉的类别……暂且不说作品#难听# 与否，先不得不捉两个bug：“慰藉jie”唱成了“慰ji”，字幕“无限”打成了“无垠”，团队不小，发歌之前这些真的没有人在乎吗？#微博乐评团# @微博乐评团 
7472608236,Mackayovv,iPhone客户端,#章子怡 我老公不仅出歌而且产瓜# ipad但你老公新歌有点难听 
6650050661,聂北秦Chin,iPhone 11 Pro,好向往这种传统的古典教育[傷心]现在的教育更像是把学生赶到流水线上看最后谁作为「产品」的数据高说好听点是竞争难听点像是养蛊机械但不见得有成效反倒忽视了那些情感上的东西 
1919869301,亚美苏-,iPhone X,#华晨宇夜的第七章##华晨宇难听# 真tm晦气 吃不下饭了艹 
2165565745,查无此人第七次,nova7你在焦点在,给一个男的花了三块钱，但是他唱的歌好难听 
3886701425,单行的Alice,OPPO随光而变R17,#难听#真的认真听了，真的是欣赏不了。可能我的音乐理解能力就到这了 
1649449591,健崔jiancui,微博 weibo.com,没听，也不知道难听不难听，只知道抄袭了银翼杀手，或者说杀袭了银翼抄手。 
5948928939,同福客栈知识竞答,iPhone 11 Pro,#难听#我又找到新段子了！！《听汪峰新歌后的我们》 
2653906910,娱乐榜姐,微博视频,#难听# 汪峰张艺兴GAI合作的新歌被网友吐槽难听了都是音乐圈的实力歌手，怎么会难听啊？你们听了感觉怎么样？ 娱乐榜姐的微博视频 
6122495784,肥柚胖胖,小米9,#难听##天气即天意#娱乐圈怎么有怎样的人  
3237910774,谁的眉目传情,iPhone 12 Pro Max,#难听# 神奇的拼盘歌曲，截然不同的3段式听后感：汪峰part：哈哈哈哈哈哈哈哈哈哈妹油仁再虎Gai part：你Gai爷就是你Gai爷，这才叫rap艺兴part：其实还不错哎，艺兴真的一直在进步 
5132890973,芋泥啵啵bbooo,iPhone客户端,没看小说前觉得好难听看了小说后一听就想哭 后劲太大缓不过来了干什么都能想到顾飞跟蒋丞这几天要疯狂看综艺缓缓😭撒野 (巫哲小说《撒野》官方主题曲)（@网易云音乐） 
1678755985,Z·稀罕,iPhone客户端,#难听#听一句就关了，汪峰咋这曲风了，老黄瓜刷绿漆装嫩吗🙃 
5606647340,安静的小帅锅耶,vivo X27,#网易云一起听#该怎么说呢，我很久没用网易云听歌了，我一直等着对面切歌，我的歌太难听了，真不应该放我的歌单 ，对面还不切歌，我都没想到能和一个陌生人听这么久 
1997408845,一只瓜甜,,#难听#点进来才知道原来是汪峰的新歌吗看今天bp的热搜含量，还以为是lisa立麦，金智秀solo，Jennie红裙还差一个一个rose呐？rose的新歌🈚热搜？所以你们觉得好听吗 
6104523503,Lykosss_,iPhone客户端,#难听#我虽然喜欢张艺兴 但哈哈哈哈哈哈哈一言难尽 可能我欣赏不来 
6104523503,Lykosss_,iPhone客户端,#难听#我虽然喜欢张艺兴 但哈哈哈哈哈哈哈一言难尽 可能我欣赏不来 
2775798485,可以叫我小北北呀,iPhone客户端,#难听#你们可不可以不要对汪峰的歌有太多要求。我们期待他能出更多歌！瓜田的感觉可太美好了，我不希望没瓜吃啊！ 
5489186445,一遇弦之误终身,iPhone客户端,#上海一乘客说方言司机听不懂引争执#没人不让上海人讲上海话在别人听不懂的情况下用普通话进行沟通我相信99%的人都没问题。但在用普通话进行沟通前没必要 对不会讲上海话的司机瞧不起，讲难听的话（仅对视频中的女性）。 
6116382889,加油小葱葱,小米8青春版 潮流旗舰,#难听#好尴尬啊，有点庞麦郎《我的滑板鞋》的既视感。而且让买家好歹也故意很傻缺的风格，但汪峰张艺兴唱的太让人郁闷了，好像天阴阴要下雨就是不下雨的感觉…… 
3480739051,何年似何年,荣耀 9X PRO,#周传雄#我跟老公一致认为现在的顶流歌星明星实力真的都太low，除了长相没有一丝厚重，唱得难听演得太差，虚伪的虚假的还可以撑多久～感谢所有陪伴我们80末90初的那些实力派歌手演员们，向你们致敬，还好青春有你们，让年少值得。你的很多歌都是我的最爱，还有奶茶。@周傳雄 
1613152977,自留小药丸,,隔壁的摇滚boy是帅哥，是一头挑染白蓝毛的类型。不过事先声明，我觉得弄过发型＋个子高的男生，在这个消费男色还不盛行的年代里，就都能算帅哥了但我今天的重点是，我以为帅哥弹贝斯再难听都可以被原谅，看来不是或者我本质不是颜狗。自从我知道隔壁是帅哥以后，听到他练琴，我他妈更 ...全文
2142082960,400学子,iPhone客户端,关于汪峰老师新歌第一遍：汪峰part：哈哈哈哈哈哈哈咋不押韵呢哥GAI  part：起立！！！！！！LAY part：啊啊啊啊哥哥！汽水音最岛！合    part：张艺兴好帅！！！第二遍汪峰part：哈哈哈哈哈好难听GAI  part：越听越好听呜呜LAY part：好炸好酷我直接嗨老公合    part：我们戴墨镜不告诉张 ...全文
5660155401,白桃苏打_sake,白桃苏打Android,#难听#服了每次不管是谁发新歌，这个话题就会上热搜🙄 
5793051624,colalicht,Android,今天全网无瓜，闲的去听了听汪峰的歌，只能说，瓜是最好的保护色。来个大瓜也许能保住汪峰歌的那点神秘传说，这回没瓜，歌难听的事儿是真滴暴露了。 
